	TCGA-OL-A5RW-01	TCGA-OL-A5RX-01	TCGA-OL-A6VR-01	TCGA-OL-A5S0-01	TCGA-OL-A5RV-01	TCGA-OL-A66O-01	TCGA-OL-A5RZ-01	TCGA-OL-A66P-01	TCGA-OL-A66J-01	TCGA-OL-A66H-01	TCGA-OL-A97C-01	TCGA-OL-A66L-01	TCGA-OL-A66N-01	TCGA-OL-A66I-01	TCGA-OL-A5D7-01	TCGA-OL-A6VO-01	TCGA-OL-A5DA-01	TCGA-OL-A5D8-01	TCGA-OL-A5RU-01	TCGA-OL-A5D6-01	TCGA-OL-A6VQ-01	TCGA-OL-A66K-01	TCGA-OL-A5RY-01
ACTA2	7436	44718	18470	21006	35314	14983	4418	12449	11931	10248	7827	19327	16456	26160	3825	6181	12743	11003	12657	31926	9835	12477	23468
ACTBL2	5	26	1	0	11	0	0	0	0	4	1	1	0	0	4	2	1	1	2	4	2	0	39
ACTB	228000	194677	145771	334651	244166	182830	195662	280527	202026	176966	140184	335774	399456	416116	240281	351051	196092	184900	178398	300752	119307	227565	211476
ACTC1	14	4	3	26	2	2	0	92	15	199	0	13	0	0	8	1	5	1	8	7	0	23	8
ACTG1	96492	178194	195374	164706	191998	292710	128320	70775	207469	104139	99759	248047	238005	182467	181055	355456	201925	200325	127701	170946	106074	237109	145016
ACTG2	305	9720	4912	16965	5976	150	857	610	704	531	2137	1083	456	7951	173	896	317	208	1736	1729	1456	291	1247
ACTL6A	5201	2596	3559	4038	2233	3377	3528	1173	1626	2043	1147	764	1310	2997	3844	7258	2630	2642	2442	1603	881	2235	2062
ACTL6B	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
ACTL7A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	2	2	0	0	1	0	1	1	1	0	3	0	0	0	1	1	1	0	1	0	2	0
ACTL8	100	2	9	4051	14	11	171	360	4	107	0	106	0	8363	20749	32	11	98	1	53	2	0	14
ACTL9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ACTN1	12197	20769	17243	21673	27358	8832	4572	3880	10718	12041	11805	11483	9276	23181	6038	14874	12119	12601	14485	20685	9870	8514	21482
ACTN2	594	5	11	10	3	3	2	3	2	136	3	18	4	44	42	48	19	2	198	3	1	5	11
ACTN3	2	8	4	11	5	3	6	3	3	4	1	5	7	10	6	3	0	5	7	0	2	4	18
ACTN4	18790	26477	28735	41174	25774	24199	22081	12457	20072	17864	14849	18399	18945	28925	16870	35082	25483	22780	24001	23016	11657	19258	15188
ACTR10	2620	2577	6215	2704	2160	4097	1835	1351	2985	2737	1781	2408	2597	2212	1070	2857	2480	2435	2464	1752	1029	1915	2730
ACTR1A	3582	5562	8160	8467	5753	9176	7522	5893	7694	5789	4229	8650	9028	5472	6645	7235	7023	8619	5492	8553	2463	5491	7010
ACTR1B	4604	4138	5476	3172	3989	4872	3454	2026	2874	3702	1753	3974	3497	2960	2500	2639	3665	6082	4212	2953	1186	3020	2949
ACTR2	5882	10660	10992	9939	11272	7579	11008	8090	11506	12011	7809	5256	6669	16083	6210	21436	10249	15644	12724	12006	5624	13480	14620
ACTR3B	23	822	704	2194	443	665	2528	96	383	712	397	324	696	1664	1476	4156	588	510	388	261	127	1055	238
ACTR3C	16	114	68	96	63	51	30	87	62	101	23	21	112	236	148	193	46	49	36	181	20	39	28
ACTR3	7276	6996	6539	9246	6906	3592	7451	4806	5335	8612	3242	5144	7132	17401	6827	13482	6317	6990	7329	8255	3475	8374	11442
ACTR5	513	505	707	536	427	892	341	406	605	589	407	752	871	825	1022	765	633	389	470	429	166	687	416
ACTR6	777	1362	2443	1236	1390	2113	2655	1097	1395	1459	611	847	1681	1890	2137	2109	1465	1576	1360	1575	497	1521	1681
ACTR8	432	1173	1685	885	990	1548	384	578	1668	1340	688	952	731	769	992	1087	1057	1157	1258	792	498	990	533
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1B	874	3982	6372	789	3762	2187	2198	1462	3205	2533	2242	1270	2324	1257	2038	2630	5923	4648	2971	2830	1509	3746	1237
ACVR1C	123	49	6	21	17	10	46	23	385	15	50	71	13	51	9	38	17	21	125	40	62	12	93
ACVR1	1271	2492	1620	1371	2317	1036	809	1114	2070	1727	1835	930	1496	2031	469	959	1649	1456	1468	2870	1139	2280	3413
ACVR2A	620	688	634	682	878	664	511	374	672	632	463	425	788	815	396	461	698	552	421	882	250	964	618
ACVR2B	485	1192	1631	333	818	402	687	364	774	435	397	231	234	352	1089	2090	1890	1985	149	267	255	794	218
ACVRL1	424	1039	816	1343	658	702	340	1352	1983	1452	2009	3447	2230	1024	499	824	711	672	954	1277	541	776	1823
ACY1	1174	2366	4489	1847	2188	6988	2031	6134	1687	6414	777	4669	3158	2396	4298	1240	1647	2243	2343	3285	676	2057	648
ACY3	55	59	3	11	44	4	8	32	7	2	27	1	90	167	134	23	10	4	13	87	17	6	143
ACYP1	987	135	519	272	126	893	168	184	160	217	222	323	185	302	160	1188	250	362	200	61	63	147	245
ACYP2	352	361	318	354	247	433	360	303	273	617	120	376	326	269	123	383	238	374	289	380	64	236	484
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ADAD2	11	9	4	13	13	16	16	13	8	13	0	25	20	14	2	7	19	5	9	1	4	5	4
ADAL	112	243	428	152	301	717	219	154	491	340	307	298	517	135	117	193	492	267	362	283	133	369	166
ADAM10	689	2630	4155	868	4307	692	1722	667	2377	1867	2221	362	723	1536	796	3385	1947	2239	2356	3052	1753	2303	1988
ADAM11	61	33	73	32	52	393	38	14	3	11	893	82	31	7	56	79	22	213	13	12	12	73	8
ADAM12	1115	4452	187	2457	2781	2042	1052	1541	3871	1694	6682	2425	2378	2164	799	1673	2638	2077	1041	5766	4917	3011	6464
ADAM15	21742	11078	9656	11870	12957	12905	4320	35269	5765	14882	4289	23244	14408	10101	26127	16811	5219	11501	21532	24878	3872	11710	7676
ADAM17	683	1561	1975	1024	2006	333	729	349	932	865	1303	343	444	1436	1092	3844	1028	1391	1237	1298	747	849	1322
ADAM18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	369	709	166	731	416	336	133	535	741	482	1260	339	395	1597	856	1121	418	523	966	935	355	163	1925
ADAM20	9	4	1	0	2	1	0	0	1	2	4	1	1	0	0	3	14	4	1	2	0	0	1
ADAM21P1	6	2	5	1	8	0	0	2	3	0	4	2	1	8	1	0	6	9	1	9	3	2	0
ADAM21	17	10	3	3	19	4	1	7	16	0	4	5	19	26	10	9	24	35	9	13	7	9	1
ADAM22	10	77	22	51	67	27	7	9	31	14	282	28	15	155	10	56	62	74	119	186	20	107	39
ADAM23	12	67	2	50	49	18	6	19	83	31	512	49	84	192	14	76	11	32	36	83	74	76	102
ADAM28	183	343	590	122	202	49	54	388	60	395	326	77	248	544	223	191	138	623	386	182	139	189	390
ADAM29	1	2	23	0	1	0	0	2	0	0	0	1	1	2	3	0	0	9	6	1	5	0	0
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	1	0	0
ADAM30	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	42	25	147	13	18	1	14	4	32	118	26	4	7	168	89	66	155	11	86	12	7	97	6
ADAM33	96	597	271	356	707	283	56	287	718	112	1314	843	1233	111	21	59	219	24	298	172	123	388	369
ADAM3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM5P	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	18141	113521	46314	63133	87050	122806	8934	591250	11475	56482	1846	110510	250365	84027	164037	23495	16696	17772	469482	41667	24684	34862	384118
ADAM7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
ADAM8	1192	1875	373	1117	489	746	533	1103	290	3368	220	783	422	2013	1903	893	463	1040	2385	385	249	936	1203
ADAM9	865	3490	12358	1967	2731	1869	1541	3762	16583	3544	3081	838	6452	4728	1279	3877	3347	2341	2436	6038	1631	5196	4352
ADAMDEC1	247	38	296	819	28	112	45	465	21	1482	198	34	66	1638	466	1472	25	224	472	204	3	25	1227
ADAMTS10	310	385	375	404	617	251	175	283	488	178	538	517	607	1432	663	83	231	1459	362	433	147	538	392
ADAMTS12	74	443	164	188	428	221	61	62	184	104	1536	104	110	176	37	151	130	341	109	912	475	157	299
ADAMTS13	255	638	371	362	643	1518	312	77	416	377	199	446	424	577	473	619	247	805	502	153	54	695	52
ADAMTS14	137	219	37	310	218	311	93	139	1102	159	326	266	428	170	94	108	477	155	80	394	251	544	396
ADAMTS15	7	403	2618	16	3971	1403	52	25	1677	632	672	367	133	19	10	40	2645	59	1084	33	1000	1534	329
ADAMTS16	44	179	38	1514	49	299	88	47	266	32	527	436	301	1386	3	136	437	72	177	258	569	1670	389
ADAMTS17	200	289	319	152	515	33	111	83	289	28	175	46	334	177	8	155	340	230	176	313	60	89	105
ADAMTS18	6	58	50	55	36	26	27	10	248	11	28	36	31	6	9	18	1426	249	25	13	49	146	40
ADAMTS19	1	13	13	8	50	19	15	0	0	202	16	30	344	1	0	20	142	288	24	1	0	6	66
ADAMTS1	8853	3508	2671	2309	2801	441	517	914	4396	3523	1710	6373	4990	1201	1706	1116	616	825	4073	1400	8595	5866	2149
ADAMTS20	0	3	0	1	2	11	1	1	4	0	2	1	0	0	0	0	0	0	1	0	14	2	1
ADAMTS2	255	710	268	517	768	381	181	413	728	523	1291	721	798	1305	641	526	333	525	413	1769	850	1094	1070
ADAMTS3	11	115	56	48	79	15	8	22	107	47	450	74	88	112	31	54	32	18	57	111	46	61	129
ADAMTS4	641	2884	220	1708	1830	637	597	748	1954	1431	2440	1067	462	1962	1598	3397	2585	9165	2680	1656	2034	3408	759
ADAMTS5	1654	902	476	378	633	107	80	142	924	127	342	371	368	134	86	607	127	303	228	485	300	654	343
ADAMTS6	63	135	40	63	162	173	67	47	168	69	44	75	34	114	42	56	185	115	80	205	109	342	206
ADAMTS7	160	267	149	958	283	458	452	545	440	345	1492	414	544	472	792	430	423	512	169	1119	202	358	323
ADAMTS8	31	509	687	17	1589	11	14	37	71	88	333	179	24	7	19	12	9	30	198	621	125	34	113
ADAMTS9	103	804	245	1146	617	172	116	252	1338	669	1250	1035	669	257	509	479	336	277	517	871	794	422	678
ADAMTSL1	30	308	104	183	234	48	81	212	235	202	323	121	216	80	56	99	111	289	392	353	108	164	261
ADAMTSL2	266	466	194	391	348	455	378	499	671	696	52	554	728	591	154	330	710	750	378	2037	257	827	312
ADAMTSL3	396	115	831	162	169	78	92	100	175	57	120	45	47	216	66	42	40	194	250	303	78	156	104
ADAMTSL4	3894	810	396	626	536	110	99	389	493	552	485	872	405	665	432	269	495	525	544	246	286	921	757
ADAMTSL5	15	325	266	54	365	193	6	108	444	12	244	330	75	100	107	11	46	267	384	313	231	578	69
ADAP1	1052	876	1760	362	287	2139	50	768	989	2068	259	1261	1293	729	1074	90	606	918	309	104	230	1411	615
ADAP2	406	333	163	550	203	297	224	836	553	1371	187	638	496	1114	444	414	413	524	406	524	152	482	711
ADARB1	998	1096	1020	1179	1327	920	1100	698	968	927	755	747	836	3015	632	1213	1227	1220	1215	1331	445	1195	810
ADARB2	0	36	128	0	4	3	1	0	4	0	5	4	4	2	0	0	6	26	1	1	1	66	3
ADAR	18998	22884	21630	14454	22889	21989	10595	5267	9785	24597	11511	11606	11923	29349	28351	60298	21992	34115	23318	10120	10075	23589	12231
ADAT1	85	520	522	201	853	285	606	108	245	431	455	122	151	284	231	1151	140	399	778	340	267	495	401
ADAT2	171	169	209	160	355	269	168	212	392	312	209	161	128	439	602	761	390	211	283	215	38	240	158
ADAT3	143	202	399	370	265	329	325	286	183	151	116	430	372	113	293	215	139	469	124	454	99	153	239
ADA	487	255	274	575	258	483	161	1155	351	607	708	630	424	1186	1272	248	325	459	297	385	123	223	642
ADCK1	612	409	714	422	433	947	454	435	412	880	243	544	496	332	390	653	489	482	602	547	115	267	436
ADCK2	2308	2560	3617	2148	2485	5406	2082	1364	1596	5515	1495	2944	5099	1806	1368	4391	2294	3106	2340	2234	814	3516	1191
ADCK4	4797	2174	3732	3022	2269	4180	983	1252	849	2893	837	4401	3264	1899	1309	1707	1798	2593	2072	1432	579	2095	1123
ADCK5	1333	444	1577	1368	669	1549	1485	534	500	637	295	1144	1378	754	909	967	666	1686	760	338	98	527	333
ADCY10	1	4	6	0	10	4	3	0	4	2	3	1	1	3	6	2	12	13	13	14	4	0	1
ADCY1	366	1786	1889	127	1483	3058	225	49	582	782	1218	418	131	86	16	2194	716	13665	1247	242	989	4096	109
ADCY2	61	99	230	655	237	74	37	23	38	14	279	693	665	1123	4	885	328	23	270	1077	162	63	306
ADCY3	3403	3377	3435	1721	1809	1837	488	2122	2539	3754	2187	1644	1778	5319	5401	3915	934	800	1566	1453	1048	2998	2123
ADCY4	50	839	1066	547	856	698	185	522	1096	684	400	1178	1268	346	210	283	782	298	962	496	281	498	813
ADCY5	3	268	566	27	341	11	213	10	424	31	386	200	322	36	8	10	819	212	116	31	378	69	191
ADCY6	1277	6408	6343	1390	7774	4027	2970	2032	7728	6124	2612	3165	3818	1905	1596	2313	5146	4968	4863	3430	2305	3932	1814
ADCY7	683	737	387	1108	975	392	478	737	509	1360	273	492	516	2843	1277	2963	487	633	1322	957	381	789	1548
ADCY8	15	1	81	0	4	51	0	0	0	0	9	4	3	1	0	1	0	0	0	0	0	1	1
ADCY9	1066	1809	3417	510	2245	982	825	376	909	1689	800	1574	623	1593	590	506	1171	2344	1431	1276	1338	2452	462
ADCYAP1R1	0	23	1	0	4	0	0	0	7	2	768	0	4	0	0	1	0	2	1	3	7	0	1
ADCYAP1	4	28	6	42	6	1	12	0	28	26	16	275	250	171	72	100	3	6	101	10	11	129	16
ADC	838	751	1331	967	543	1282	131	287	898	470	401	1085	830	956	346	600	797	996	451	443	325	1013	467
ADD1	8130	11058	17057	6212	12223	17951	10795	6065	12947	10177	7382	10544	14771	7713	5319	10022	14255	15352	13203	10264	5359	9948	9902
ADD2	438	53	57	221	51	10	36	47	87	52	24	40	111	225	94	2402	31	22	465	16	51	57	48
ADD3	1005	2646	3995	3125	4071	2134	350	1443	1429	1092	1568	1084	1396	2434	984	2540	2619	1624	8878	22207	1162	1527	3353
ADH1A	0	8	9	5	7	0	3	4	45	2	0	42	9	2	1	19	0	1	19	2	24	0	25
ADH1B	1	2103	941	1197	678	15	703	231	13327	141	1	7264	684	745	165	876	19	41	4582	150	1502	301	3473
ADH1C	2	113	64	38	37	13	8	26	89	6	2	247	67	22	5	2	16	8	86	665	18	14	178
ADH4	0	16	31	1	3	0	1	1	8	3	0	11	12	0	1	9	0	0	2	0	8	0	17
ADH5	2286	4948	6200	5156	4483	5281	4020	2392	5552	4245	3706	3582	3515	8021	5272	5896	5717	3247	3793	3276	1723	3279	6772
ADH6	0	5	1	0	2	0	0	0	1	1	0	1	1	0	1	13	0	0	0	1	0	1	2
ADH7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ADHFE1	32	470	546	148	350	438	147	175	328	140	138	288	136	484	172	113	269	67	557	408	168	135	93
ADI1	4537	3247	2261	5987	2080	2563	5925	3247	2787	3231	1330	5536	4025	4332	3655	8533	1289	7695	1358	5732	640	2933	3886
ADIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ	0	999	100	396	233	5	734	24	17563	16	0	1954	50	425	244	663	11	110	2323	49	1408	95	1821
ADIPOR1	6684	8184	8237	4683	7074	6542	5548	3052	6800	7856	3866	3441	6969	4937	4715	8548	7746	10794	8850	5535	3266	12337	4954
ADIPOR2	3613	8732	15973	3022	7357	30238	3502	2277	6145	13712	2495	2543	2635	2985	4229	5674	7389	17605	5107	3007	1796	8556	3319
ADK	886	794	1548	1255	695	1123	511	830	654	796	575	911	1121	657	948	1641	620	781	795	893	379	842	965
ADM2	386	1109	533	1812	481	688	351	1296	468	1198	308	180	612	2277	624	1007	470	754	696	1264	112	295	870
ADM	2383	313	279	1231	284	442	219	926	702	268	3631	617	506	468	109	368	107	127	660	813	262	160	762
ADNP2	531	2054	2925	866	2138	632	1313	492	966	1517	872	665	692	2485	1842	1874	1636	1826	1627	899	533	1763	922
ADNP	2526	6920	8145	2662	7365	3490	5970	1033	5254	5411	5323	1701	2780	6700	4444	6006	7775	7312	5609	4400	2715	6403	3650
ADORA1	728	581	3389	1163	2051	8403	130	702	7871	375	422	243	91	484	160	881	822	944	96	876	496	3363	246
ADORA2A	98	1892	495	656	282	767	318	640	4450	187	191	405	304	2212	1157	262	367	2248	587	422	81	7620	542
ADORA2B	106	98	67	125	119	14	10	50	49	31	149	19	210	436	126	191	44	46	71	56	78	35	428
ADORA3	392	99	293	71	205	129	174	392	155	859	163	497	436	1268	119	79	233	305	123	647	81	148	293
ADO	681	1322	2238	1588	1590	1639	1397	648	2019	1795	843	1101	1364	1294	1735	1961	2058	1548	1223	1245	625	1491	1476
ADPGK	1914	2450	2621	2565	2699	2531	1463	1982	1951	2604	1615	1895	2041	2886	2275	3710	2796	1880	2521	2417	1117	2037	2335
ADPRHL1	139	753	712	138	325	433	56	66	175	718	26	325	348	49	182	92	464	441	360	628	152	414	154
ADPRHL2	3159	1793	3262	2130	1558	3900	925	1864	2098	2072	1121	3312	1947	2179	3527	4250	2224	2032	1845	1883	643	1490	1802
ADPRH	1343	521	645	508	452	184	145	386	430	733	260	417	409	802	356	472	510	728	644	555	211	366	492
ADRA1A	2	1	1	2	2	0	0	1	13	1	21	5	1	2	5	1	0	3	11	5	4	0	9
ADRA1B	16	32	343	118	27	36	549	12	49	46	6	45	30	28	0	9	228	79	11	98	3	62	82
ADRA1D	3	8	10	9	9	2	3	9	22	11	8	26	32	12	1	2	9	4	13	8	2	9	19
ADRA2A	488	577	1706	778	2457	751	118	993	2436	721	518	1221	1594	429	170	181	519	58	1302	1102	787	509	1424
ADRA2B	324	15	30	79	43	56	15	20	67	19	195	80	88	207	204	349	25	52	25	27	20	103	39
ADRA2C	240	78	78	119	103	560	323	114	212	52	15	502	1083	65	669	95	204	296	69	185	61	631	140
ADRB1	5	286	137	3	112	10	0	3	53	5	2	667	76	11	12	10	1	10	3	6	306	4	8
ADRB2	101	162	539	32	191	30	25	87	285	98	48	259	206	51	46	24	52	47	143	99	132	40	269
ADRB3	0	4	1	1	1	0	2	4	3	1	2	8	0	0	0	1	0	0	2	0	1	0	1
ADRBK1	6557	6021	8268	3647	5588	14754	6745	7902	15695	10225	2941	6593	5322	6951	11485	6642	13725	8116	6940	4246	2165	4186	6898
ADRBK2	319	1581	1242	735	1484	1311	773	458	1730	1459	518	991	592	1399	634	587	1264	2582	1702	931	576	1816	834
ADRM1	8681	4018	5129	7621	3782	7283	8421	7968	3811	5180	2552	7193	6048	6838	12793	7603	3402	4797	4360	5295	1235	3197	5867
ADSL	1875	2047	3391	3804	1554	3318	1529	1740	1827	2690	1265	1853	2744	2108	3540	4116	2139	1774	1689	1474	477	1288	2342
ADSSL1	166	272	683	92	394	726	233	81	382	231	166	493	509	27	87	104	287	596	214	340	106	253	170
ADSS	2853	6027	4289	3487	5439	2838	3510	1335	3306	3064	1991	2022	4292	4403	5246	7456	5552	3147	7361	3565	2212	7769	3435
AEBP1	31308	20514	5985	32738	23527	33367	7406	21302	30461	15954	17780	53924	46165	38090	7581	7364	36845	25050	16744	41061	14241	45700	28751
AEBP2	813	1332	1847	728	1503	1057	864	466	1426	1116	678	837	1072	1799	384	1080	1218	907	1279	677	644	1421	1046
AEN	2276	918	1917	1636	1520	1171	1114	1657	1208	1434	864	1333	916	1210	2077	2349	919	1187	1263	1094	517	718	1302
AES	29409	19500	25139	12735	16098	40030	43925	20679	28271	22932	21100	40576	29329	18440	12478	24274	29433	31244	20787	18705	6839	21014	20557
AFAP1L1	87	371	371	551	409	243	264	225	669	457	610	521	489	384	230	253	287	276	313	628	278	405	444
AFAP1L2	62	787	5733	395	1694	2099	136	446	1091	361	999	881	588	537	140	222	6485	716	562	876	591	498	1108
AFAP1	1201	2914	1627	1733	3597	1363	2372	524	2547	1467	2184	1448	2485	2611	2138	6608	2994	3547	2194	2199	1879	2345	2866
AFARP1	2	16	26	2	17	32	1	1	9	3	12	8	5	9	11	23	9	2	12	12	1	16	1
AFF1	467	5085	4444	695	7559	1816	2864	1373	3432	2574	4131	2109	2431	2550	1320	3413	3563	6141	4132	3729	3024	3996	2606
AFF2	3	40	36	116	39	18	8	19	48	13	540	10	59	273	8	5	32	14	31	343	26	69	70
AFF3	50	3635	22104	96	9589	4339	4248	307	11432	10271	5876	1166	2581	642	285	75	13833	21413	5192	2189	3613	5137	450
AFF4	1833	6576	7380	1941	9099	3424	3536	1182	3827	4427	6013	2053	3486	2390	985	4959	6244	7436	5718	5230	3976	6235	3032
AFG3L1	386	622	786	466	840	1109	1639	216	642	721	398	414	381	693	1274	664	698	547	888	268	140	486	410
AFG3L2	4175	3340	4606	1512	2806	5315	3660	2377	2658	4114	1657	2588	2794	3017	6841	13009	2721	2340	3155	1838	772	3466	2870
AFMID	1489	1525	1612	559	1132	1718	933	2120	1397	1914	738	3123	2020	1019	925	1678	2145	1106	5827	9907	499	2335	2046
AFM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFP	0	92	2	0	46	7	4	3	3	1	3	3	189	0	0	9	122	19	3	99	5	8	21
AFTPH	1796	4496	5545	1753	4691	3836	3539	1992	3579	3329	1456	1767	3042	3709	1321	3885	5217	5221	4910	2200	1770	5598	2391
AG2	977	1395	264	4158	433	917	286	1165	1598	760	740	4544	686	253	497	1393	587	654	1994	614	745	687	765
AGAP11	41	111	449	21	307	138	92	13	174	78	48	49	59	17	14	12	176	56	105	65	30	127	19
AGAP1	402	1383	1738	739	1759	708	1134	370	1378	698	532	788	899	820	1585	851	1012	707	831	720	729	1043	906
AGAP2	71	253	156	208	208	155	218	1139	187	232	1391	261	336	2005	416	641	142	489	430	1307	79	175	500
AGAP3	3374	5495	6803	4453	4169	8251	7840	2457	4394	8304	3753	5226	5131	5171	10912	5789	4764	3518	3103	3257	1259	3738	2435
AGAP4	356	945	1084	568	930	1004	1031	264	686	419	397	650	564	593	749	722	1073	645	623	302	238	903	250
AGAP5	42	95	245	36	219	91	95	24	111	63	69	64	69	46	72	56	171	134	173	91	46	160	37
AGAP6	168	540	522	231	556	393	620	113	449	342	203	314	271	242	581	340	540	385	394	172	96	365	170
AGAP7	15	36	34	20	24	63	32	18	37	29	17	39	22	19	46	58	68	30	20	57	4	40	52
AGAP8	9	93	138	35	250	145	53	17	169	109	85	47	91	139	108	147	235	88	103	39	13	104	43
AGA	314	1355	1566	615	1356	1488	829	1085	1957	1278	608	894	1782	1024	244	639	1584	1252	2191	889	457	1906	1148
AGBL1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0
AGBL2	13	127	104	11	87	238	2	32	106	41	33	25	28	25	20	46	103	101	74	12	15	110	29
AGBL3	20	41	50	14	31	11	30	1	8	9	9	15	20	11	16	22	13	15	23	15	5	26	3
AGBL4	36	25	45	2	26	0	26	1	9	11	23	19	22	19	0	32	38	46	44	3	8	25	3
AGBL5	3701	1835	2971	949	1510	3680	1824	1493	1330	1329	1457	1468	2041	1468	1593	5737	2544	4196	1260	1115	547	1853	1135
AGER	139	98	243	177	147	390	565	86	195	65	175	469	222	194	248	119	379	298	183	34	26	130	118
AGFG1	2675	3590	3579	2893	3959	2178	2719	2248	3181	3569	1663	2049	2245	4305	4351	6212	2808	1805	3206	5780	1457	3007	4049
AGFG2	799	968	1020	419	1012	977	514	772	731	1331	851	1672	1695	820	716	464	604	614	1049	466	432	984	1433
AGGF1	1001	1919	2565	1327	1979	1693	1553	958	1575	1911	871	989	1513	1074	730	1978	1796	1658	1762	1729	822	1885	1568
AGK	686	1578	2084	1066	1631	1073	1936	347	968	1870	908	595	1228	1373	1737	2244	1265	1559	1449	1258	460	1833	655
AGL	642	2186	3436	751	2968	10350	784	377	6633	3361	1059	943	789	833	269	1225	11685	5286	2072	936	928	6060	944
AGMAT	93	63	117	86	70	68	33	63	16	93	19	87	101	469	319	142	39	117	91	38	16	162	76
AGPAT1	9692	3860	7173	5627	3371	7149	4321	2393	4962	4865	3008	3514	4844	4553	2891	6032	5521	6975	3917	2382	1553	4728	2832
AGPAT2	5009	2529	1757	3878	1670	5994	5359	7186	8370	3382	1621	9059	3413	4023	2534	4160	1996	2737	2439	3254	818	3666	4171
AGPAT3	6558	5363	7793	3737	5813	3508	4508	3280	4598	8680	2174	2951	2923	4792	5164	6455	7241	8752	5395	5984	1376	4996	3839
AGPAT4	459	397	367	847	393	244	89	222	636	172	1161	598	475	379	458	1448	267	320	207	420	196	305	740
AGPAT5	1095	3107	1166	679	1935	1094	416	595	1647	2081	929	483	1222	2472	1215	8475	1929	2191	1681	1048	557	5039	958
AGPAT6	3838	4588	20979	2222	5389	6726	1863	3343	22590	3897	2776	6153	7026	5736	6460	12400	6064	7952	6912	5868	2119	5842	2457
AGPAT9	151	177	89	368	121	52	30	60	249	150	28	55	98	178	77	139	154	22	247	33	79	56	176
AGPHD1	163	65	138	51	138	54	14	48	92	105	74	118	114	32	104	191	106	134	66	110	39	89	66
AGPS	1465	4287	699	1508	869	1621	904	380	805	2416	569	1965	803	1712	1133	2031	422	1078	491	644	501	1751	2667
AGR2	9	13124	28367	10	29365	21509	964	1692	10694	10881	8678	22991	50066	62	38	5	9271	275	6029	5258	8122	23051	8830
AGR3	112	5879	4298	11	6370	15007	46	3	8780	9086	1070	6948	3336	18	30	3	4541	18541	5776	4	2794	12830	281
AGRN	17480	16602	18622	15071	25155	26050	8938	8832	8072	14607	16302	21362	13789	27789	6694	17291	26194	16771	11535	13889	8529	13265	15989
AGRP	1	0	0	0	0	2	0	3	1	2	3	5	0	0	5	1	4	2	0	0	0	3	5
AGTPBP1	405	527	818	876	515	382	568	287	436	634	457	193	218	2830	1148	2608	548	452	597	616	220	555	701
AGTR1	45	480	2305	68	139	129	17	46	322	7498	32	126	308	41	11	15	365	24	63	65	81	105	212
AGTR2	2	0	0	0	1	2	0	0	0	0	8	1	2	1	0	0	3	0	2	0	0	37	0
AGTRAP	4215	2415	8774	4030	3379	6728	677	5701	1786	2959	1101	6954	2726	3306	4666	5389	4802	4606	2682	6191	1138	2501	2586
AGT	7622	1017	2683	704	416	2780	41	29	213	127	537	2279	313	77	144	147	1198	565	2352	119	317	3368	1535
AGXT2L1	6	122	4	2	96	53	2	2	0	4	0	0	3	0	2	0	4	2	4	5	11	186	5
AGXT2L2	735	1034	1516	609	1540	1097	651	754	1102	1147	686	1406	1163	810	768	970	931	1283	1773	1263	364	1571	943
AGXT2	0	1	1	0	0	0	0	0	0	0	1	2	0	1	0	0	3	2	0	1	0	1	0
AGXT	0	0	2	0	0	0	4	0	6	0	1	1	0	0	0	1	0	1	0	0	2	2	4
AHCTF1	1660	3346	2830	2474	3469	2073	2092	667	2142	2270	2006	1601	2432	3374	5377	6809	2926	1892	3035	1830	1699	4205	1760
AHCYL1	6432	8726	16879	2833	10220	8610	3759	3227	8840	7992	5149	4701	3418	3741	3082	8593	11900	15020	10704	6537	4204	6834	5770
